,ts_code,business_scope
0,300456.SZ,微电子器件、半导体器件、集成电路及配套产品的技术开发、技术服务、软件开发、技术咨询；产品设计；集成电路设计； 制造电子计算机软硬件；销售微电子器件、半导体器件、通讯设备及其系统软件、计算机软件、电子计算机及其辅助设备、电子元器件；货物进出口，技术进出口，代理进出口。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
1,300198.SZ,塑料管道生产销售；钢管塑料防腐处理及塑料防腐钢管成品销售；塑料原料、机电设备销售；管道材料研发与销售，管道设备研发与销售；管道安装(不含特种设备)；化工材料、管材及给排水产品进出口；提供工程技术咨询服务；新能源技术的开发、咨询、交流、转让、推广服务；汽车零部件及配件的研发、销售；汽车租赁。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
2,002770.SZ,乳制品、乳饮料、饮料的生产与销售(凭许可证经营)；从事货物与技术的进出口业务(但国家限定公司经营或禁止进出口的商品及技术除外)。
3,002670.SZ,控股公司服务，股权投资，投资管理与咨询，金融信息服务；科技中介服务，技术推广服务；软件开发，信息技术服务，信息系统集成服务；橡胶管制造，电线电缆制造；家用电器配件及原材料的进出口；电器连接线、电源线销售。(依法需经批准的项目，经相关部门批准后方可开展经营活动。)
4,300519.SZ,生产、销售：片剂、合剂(含口服液)、颗粒剂、糖浆剂、散剂、硬胶囊剂、口服溶液剂(有效期至2020年7月19日)；颗粒剂、口服液类保健食品(保健食品生产许可证有效期至2018年01月05日)。货物进出口；技术进出口。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
5,300750.SZ,锂离子电池、锂聚合物电池、燃料电池、动力电池、超大容量储能电池、超级电容器、电池管理系统及可充电电池包、风光电储能系统、相关设备仪器的开发、生产和销售及售后服务；对新能源行业的投资；锂电池及相关产品的技术服务、测试服务以及咨询服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
6,300461.SZ,生产销售自动化设备、自动化系统、自动化机械及电子部件、机械部件；对自产产品提供售后维修服务。
7,002891.SZ,生产、加工宠物食品，并销售公司上述所列自产产品；销售宠物饲料添加剂产品。（依法续经批准的项目，经相关部门批准后方可开展经营活动）
8,300258.SZ,精密锻件、精密冲压件、成品齿轮、精密模具、差速器总成和离合器总成及其零件的设计、制造、销售；精锻、精冲工艺CAD/CAE/CAM系统研发；自营和代理各类商品及技术的进出口业务(国家限定公司经营和禁止进出口的商品及技术除外)。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
9,002956.SZ,燕麦食品、固体饮料、罐头饮料的开发、生产、经营(凭有效许可证核定的项目经营)，食品生产技术研发及咨询；企业管理、企业信息化管理咨询服务；销售预包装食品。(依法须经批准的项目，经相关部门批准后方可开展经营活动。)
10,300692.SZ,环保科技技术开发、咨询及转让服务；环境污染防治工程施工；环境工程设计；环境污染治理设施管理；城市生活垃圾处理工程设计及施工；环保监测仪器、设备、环保建材、环保型保护膜开发、销售；市政工程（含地下管廊、海绵城市等）；机电安装、自动化、智能化系统工程；生态工程（黑臭水体、人工湿地、土壤修复等）；园林、景观、绿化；房屋租赁、仓储（除危险品）；环境污染治理设施运营（限分支机构）；垃圾焚烧发电、农林废弃物（生物质）发电；固体废弃物处置（除危险品）；污泥及餐厨垃圾处理；城乡环卫一体化工程。（以上凡涉及行政许可的项目均凭许可证件经营）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
