0,300456.SZ,微电子器件、半导体器件、集成电路及配套产品的技术开发、技术服务、软件开发、技术咨询；产品设计；集成电路设计； 制造电子计算机软硬件；销售微电子器件、半导体器件、通讯设备及其系统软件、计算机软件、电子计算机及其辅助设备、电子元器件；货物进出口，技术进出口，代理进出口。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,3
5,300750.SZ,锂离子电池、锂聚合物电池、燃料电池、动力电池、超大容量储能电池、超级电容器、电池管理系统及可充电电池包、风光电储能系统、相关设备仪器的开发、生产和销售及售后服务；对新能源行业的投资；锂电池及相关产品的技术服务、测试服务以及咨询服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动),5
6,300461.SZ,生产销售自动化设备、自动化系统、自动化机械及电子部件、机械部件；对自产产品提供售后维修服务。,2
11,300290.SZ,许可经营项目：第二类增值电信业务中的信息服务业务（不含固定网电话信息服务和互联网信息服务）；一般经营项目：计算机软硬件技术、电控工程技术开发；计算机系统集成（持资质证经营）及咨询服务，计算机及辅助设备、通讯器材、机械电子设备销售，建筑智能化工程、防雷电工程、安全技术防范设施工程、弱电工程设计、施工，计算机房装修及综合布线（上述项目持资质证经营），计算机系统维护， 多媒体教学设备、特教仪器设备、教学器材、医疗器械销售； 自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）,1
17,300250.SZ,计算机软件、办公自动化设备、光纤通讯设备、数据接入设备、视频通讯设备、综合网络管理及服务提升系统的技术开发、技术服务、成果转让，数字复合和传输接口设备、电视电缆和电力线传输设备、无源光传输设备、数据通信设备、移动数据终端设备、光电通信设备、接入网系统设备、数字网络机顶盒、通信系统设备的设计、生产、销售、 维修、 技术服务、技术咨询，计算机网络工程安装，信息系统集成，集成电路、通讯设备及零部件、电子产品、机械设备、仪器仪表、办公用品、计算机及外部设备、化工产品（除化学危险品及易制毒化学品）的销售，经营进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动),1
19,002902.SZ,研发、产销：半导体材料及器件、集成电路产品、微电子产品、光电产品、电子产品、网络通信磁性元器件、通信用连接器组件、光电模块、光器件、电源类产品、照明光源、灯具、日用小家电、五金制品、塑胶制品；研发、产销、维修保养：光伏逆变器和控制器、风能控制器、通信电源、不间断电源、储能电源、应急电源、蓄电池管理装置、通信用机柜及其配套产品、低压成套开关设备、网络通信终端、电动车充电器及充电桩；数据中心、通信系统、太阳能和风能供电系统的工程设计、集成、安装调测和保养； 道路普通货运；货物进出口、技术进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,3
23,300545.SZ,一般经营项目：电子半导体工业自动化设备；光电平板显示（ LCD/LCM/TP/OLED/PDP）工业自动化设备、检测设备、其他自动化非标专业设备，口罩机的研发、生产与销售、调试安装及售后服务； 设施、工装夹具、工控软件的研发、设计、生产、销售和技术服务；货物及技术进出口； 劳保（口罩、防护服、手套）的生产与销售。（法律、行政法规、国务院决定规定在登记前须批准的项目除外）；许可经营项目：普通货运（不含危险货物运输及凭道路运输经营许可证经营）。,2
26,002912.SZ,通讯产品的技术开发、服务、咨询、购销。(凡涉及特许经营的项目须经有关部门批准后方可经营；不涉及的，企业自主选择项目开展经营活动)；从事货物、技术进出口业务(不含分销、国家专营专控商品)；投资咨询、企业管理咨询、商务信息咨询(以上均不含限制项目)；投资管理(不得从事信托、金融资产管理、证券资产管理、保险资产管理及其它限制项目)；生产通讯所涉及的宽带网络ATM、通讯雷达。,1
27,300270.SZ,应用软件的技术开发、技术服务、成果转让；计算机系统集成，安防工程的设计、施工，楼宇智能化工程的设计、施工，安防产品、通信产品、计算机软件的生产和销售；经营进出口业务；有形动产租赁业务、融资租赁业务、租赁业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动),4
30,300348.SZ,计算机软、硬件及电子仪器的开发及服务，网络技术的开发及服务；兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品）。计算机系统集成（不含限制项目）。信息技术咨询；信息系统设计、集成、运行维护；人力外包；劳务派遣。人才培训。自有房屋租赁。以承接服务外包方式提供系统应用管理和维护、信息技术支持管理、数据处理管理技术和业务流程外包服务；从事技术进出口业务经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,1
33,300243.SZ,制造销售塑料助剂； 生物材料、降解塑料的树脂及制品的生产、研发和经营；合成橡胶制造和销售。 （依法须经批准的项目，经相关部门批准后方可开展经营活动）,0
34,300484.SZ,软硬件技术开发；变频器、伺服驱动器和系统、电动汽车电机控制器、太阳能光伏逆变器和水泵控制器、电子逆变焊机、电子加热装置、软起动器的研发、生产、销售、系统集成、技术咨询；兴办实业（具体项目另行申报）；国内贸易；经营进出口业务； 新能源汽车租赁服务（不含融资租赁） 、运营管理服务、 房屋租赁（以上均不含法律、行政法规、国务院决定规定需前置审批和禁止的项目） 。,5
36,300475.SZ,机器人核心零部件、家用电器核心零部件、模具的研发、生产、销售；房屋租赁；自营本公司产品和技术的进出口业务(国家限定公司经营或禁止进出口的产品和技术除外)(依法须经批准的项目，经相关部门批准后方可开展经营活动)。,2
43,300655.SZ,生产电子工业用超纯化学材料（硫酸、硝酸、盐酸、氢氟酸、乙酸［含量＞80%］、 2-丙醇、氟化铵、过氧化氢［ 20%≤含量≤60%］、氨溶液［ 10%＜含氨≤35%］ 及液体消毒剂【过氧乙酸（含餐具洗涤剂） [含量≤43%，含水≥5%，含乙酸≥35%，含过氧化氢≤6%，含有稳定剂]、过氧化氢】，开发生产电子工业用超纯化学材料，销售公司自产产品；从事一般化学品和危险化学品（按有效的《危险化学品经营许可证》所列项目及方式经营）的批发业务（不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）；提供相关技术服务、咨询和技术转让。（依法须经批准的项目，经相关部门批准后方可开展经营活动）（外资比例小于 25%）,0
53,002691.SZ,矿用采掘机械、矿用运输设备、矿用电器及仪表、风动设备、电动设备及配件、通讯设备及器材、钻具、锚具、锚固用品的生产销售、机械加工；本企业自产产品及技术的出口业务和本企业所需的机械设备、零配件、原辅材料及技术的进出口业务，国家限定或禁止的商品和技术除外；设备租赁；自产产品的维修服务，自有房屋租赁；煤炭销售。,2
54,002876.SZ,偏光片、保护膜、太阳膜的生产销售，光电材料的研发与销售，国内商业、物资供销业、货物及技术进出口(以上均不含法律、行政法规、国务院决定禁止及规定需前置审批项目)；普通货运(有效期至2011年9月30日)。,3
58,300312.SZ,通信设备、仪器仪表、计算机软件、电力输配电及控制设备、电工器材、电气机械、广播电视设备的技术开发、技术转让、技术咨询、技术服务、技术培训；批发通信设备、仪器仪表、计算机软件、硬件及辅助设备、电力输配电及控制设备、电工器材、电气机械、广播电视设备(不含卫星电视广播地面接收设施)；计算机系统服务；通信信息网络系统集成、通信用户管线建设；通信设备租赁；投资及投资管理；货物进出口、技术进出口。,4
60,300521.SZ,研究、开发激光、电压打印喷头技术、机械设备技术，生产打印设备及零配件，销售本企业产品，提供相关技术咨询、售后服务。从事机械设备及其相关零配件的批发、零售、进出口业务（不设店铺经营，不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）及技术进出口。 新技术有色金属材料生产，电子元器件零售、电子元器件批发，电子元件及组件制造，机械设备租赁、房屋租赁。,2
63,300773.SZ,银行卡收单；互联网支付；数字电视支付；预付卡受理；移动电话支付(中华人民共和国支付业务许可证有效期至2021年05月02日)；技术开发、技术咨询、技术转让、技术服务；计算机系统集成；设计、制作、代理、发布广告；销售自主研发的产品。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),1
64,300366.SZ,(以下范围不含前置许可项目，后置许可项目凭许可证或审批文件经营)互联网信息服务；软件和信息技术服务业；商品批发与零售； 增值电信业务。（ 依法须经批准的项目，经相关部门批准后方可开展经营活动）,1
